Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,27,30,1.0,1.0,D,1.75,3.86,5.25,1.76,3.87,5.31,1.69,3.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0
2012,34,17,1.0,1.0,D,2.83,3.39,2.68,2.83,3.42,2.7,2.59,3.23,2.58,0,0,0,0,0,0,0,0,0,0,0,0
2012,16,26,2.0,1.0,H,1.6,4.04,6.72,1.67,4.05,7.22,1.59,3.67,5.64,0,0,0,0,0,0,0,0,0,0,0,0
2012,6,33,4.0,2.0,H,2.49,3.35,3.15,2.49,3.39,3.15,2.35,3.26,2.84,0,0,0,0,0,0,0,0,0,0,0,0
2012,11,18,0.0,1.0,A,1.96,3.53,4.41,1.96,3.53,4.41,1.89,3.33,3.89,0,0,0,0,0,0,0,0,0,0,0,0
2012,22,12,2.0,0.0,H,1.76,3.63,5.66,1.77,3.9,6.0,1.66,3.55,5.1,0,0,0,0,0,0,0,0,0,0,0,0
2012,29,3,0.0,1.0,A,3.12,3.45,2.44,3.12,3.45,2.62,2.74,3.23,2.45,0,0,0,0,0,0,0,0,0,0,0,0
2012,5,32,0.0,0.0,D,2.33,3.44,3.32,2.45,3.52,3.32,2.3,3.22,2.97,0,0,0,0,0,0,0,0,0,0,0,0
2012,14,2,0.0,0.0,D,1.83,3.74,4.82,1.85,3.79,4.82,1.78,3.47,4.3,0,0,0,0,0,0,0,0,0,0,0,0
2012,35,21,2.0,1.0,H,2.25,3.4,3.53,2.25,3.46,3.64,2.08,3.25,3.41,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,29,1.0,1.0,D,1.66,4.09,5.79,1.7,4.09,5.79,1.66,3.59,5.04,0,1,0,0,0,0,0,0,1,0,1,-1
2012,17,22,3.0,3.0,D,2.13,3.35,3.95,2.15,3.6,4.2,1.99,3.23,3.74,0,1,0,1,1,0,1,0,0,2,0,2
2012,30,35,0.0,1.0,A,2.5,3.5,2.67,2.8,3.54,2.7,2.62,3.22,2.54,0,1,0,1,1,0,1,0,0,2,1,1
2012,26,14,0.0,0.0,D,3.15,3.31,2.49,3.15,3.31,2.8,2.67,3.18,2.55,0,0,1,1,2,-1,0,1,0,0,0,0
2012,3,11,1.0,0.0,H,2.04,3.43,4.09,2.25,3.7,4.09,2.08,3.28,3.43,1,0,0,1,0,1,0,0,1,0,1,-1
2012,12,6,2.0,3.0,A,1.79,3.88,4.84,1.96,4.2,4.84,1.77,3.6,4.15,0,0,1,0,2,-2,1,0,0,4,2,2
2012,32,34,0.0,0.0,D,1.42,4.76,9.52,1.5,4.88,9.52,1.41,4.17,7.46,0,1,0,0,0,0,0,1,0,1,1,0
2012,33,5,1.0,0.0,H,1.47,4.74,7.68,1.47,4.74,7.91,1.44,4.12,6.93,0,0,1,2,4,-2,0,1,0,0,0,0
2012,18,16,2.0,2.0,D,1.65,4.01,6.0,1.7,4.33,6.02,1.65,3.61,5.08,1,0,0,1,0,1,1,0,0,2,1,1
2012,21,27,1.0,0.0,H,1.97,3.59,4.26,2.1,3.8,4.26,1.97,3.33,3.66,0,0,1,1,2,-1,0,1,0,1,1,0
2012,2,21,0.0,1.0,A,2.31,3.56,3.25,2.4,3.56,3.27,2.28,3.26,2.96,0,2,0,1,1,0,1,0,1,2,2,0
2012,34,27,2.0,1.0,H,2.62,3.39,2.9,2.69,3.39,2.9,2.46,3.17,2.77,0,2,0,1,1,0,0,1,1,1,2,-1
2012,3,5,1.0,1.0,D,1.46,4.55,8.5,1.5,4.69,9.0,1.43,4.13,7.23,2,0,0,2,0,2,0,1,1,0,1,-1
2012,12,30,2.0,0.0,H,1.7,3.94,5.59,1.7,3.97,6.0,1.59,3.72,5.37,0,0,2,2,5,-3,0,1,1,1,2,-1
2012,35,26,4.0,2.0,H,1.4,4.99,9.42,1.4,5.04,10.0,1.37,4.4,8.19,2,0,0,3,1,2,0,1,1,1,2,-1
2012,22,33,1.0,0.0,H,1.83,3.77,4.75,2.0,3.77,4.75,1.86,3.41,4.03,1,1,0,5,3,2,1,0,1,3,4,-1
2012,29,17,2.0,2.0,D,2.52,3.53,2.94,2.8,3.54,2.94,2.55,3.21,2.67,0,1,1,1,2,-1,0,2,0,4,4,0
2012,32,18,1.0,1.0,D,2.15,3.45,3.77,2.2,3.45,4.0,2.02,3.23,3.63,0,2,0,0,0,0,1,1,0,3,2,1
2012,6,14,2.0,3.0,A,2.17,3.39,3.79,2.24,3.52,4.09,2.02,3.32,3.58,2,0,0,7,4,3,0,2,0,0,0,0
2012,11,16,1.0,1.0,D,1.61,4.12,6.35,1.63,4.13,6.5,1.56,3.77,5.68,0,0,2,0,2,-2,1,1,0,4,3,1
2012,17,12,3.0,1.0,H,2.06,3.51,3.95,2.12,3.52,4.75,1.93,3.34,3.83,0,3,0,6,6,0,1,0,2,4,5,-1
2012,27,3,0.0,1.0,A,2.06,3.69,3.79,2.2,3.7,3.85,2.05,3.37,3.39,0,1,2,2,4,-2,2,1,0,3,1,2
2012,30,2,2.0,0.0,H,2.19,3.43,3.67,2.29,3.43,3.75,2.08,3.26,3.4,0,1,2,1,4,-3,0,2,1,1,2,-1
2012,5,35,1.0,2.0,A,3.04,3.47,2.48,3.25,3.47,2.48,2.93,3.24,2.31,0,2,1,1,2,-1,3,0,0,7,3,4
2012,18,22,0.0,0.0,D,1.96,3.43,4.59,1.98,3.43,4.7,1.92,3.27,3.95,1,2,0,4,3,1,2,1,0,6,3,3
2012,21,11,2.0,0.0,H,1.53,4.24,7.45,1.73,4.29,7.54,1.53,3.84,6.06,2,0,1,3,2,1,0,1,2,1,3,-2
2012,14,34,1.0,0.0,H,1.54,4.26,7.3,1.7,4.42,7.32,1.55,3.83,5.76,1,2,0,3,2,1,1,2,0,3,2,1
2012,16,29,0.0,0.0,D,1.85,3.71,4.71,1.86,3.75,5.0,1.74,3.51,4.52,1,2,0,5,4,1,0,2,1,3,4,-1
2012,26,6,3.0,2.0,H,2.33,3.58,3.18,2.7,3.64,3.18,2.35,3.36,2.8,0,1,2,3,6,-3,2,0,1,9,7,2
2012,33,32,1.0,0.0,H,1.85,3.7,4.74,1.88,3.76,4.74,1.83,3.42,4.11,1,0,2,3,5,-2,0,3,0,1,1,0
2012,14,16,1.0,0.0,H,1.77,3.85,5.09,1.79,4.09,5.09,1.72,3.53,4.54,2,2,0,4,2,2,1,3,0,5,4,1
2012,22,6,1.0,2.0,A,1.61,4.37,5.94,1.61,4.59,6.5,1.54,3.91,5.7,2,2,0,6,3,3,2,0,2,11,10,1
2012,18,30,4.0,1.0,H,1.54,4.38,6.98,1.58,4.38,8.0,1.46,4.04,6.8,1,3,0,4,3,1,1,1,2,3,4,-1
2012,5,34,2.0,1.0,H,1.93,3.54,4.51,2.1,3.54,4.51,1.96,3.34,3.68,0,2,2,2,4,-2,1,2,1,3,3,0
2012,17,32,1.0,0.0,H,1.75,3.96,5.13,1.76,3.97,5.65,1.63,3.65,5.12,1,3,0,9,7,2,0,3,1,1,2,-1
